,name,institution
0,Machine Learning,Stanford University
1,Indigenous Canada,University of Alberta
2,The Science of Well-Being,Yale University
3,Technical Support Fundamentals,Google
4,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing
5,Financial Markets,Yale University
6,Introduction to Psychology,Yale University
7,Programming for Everybody (Getting Started with Python),University of Michigan
8,The Bits and Bytes of Computer Networking,Google
9,AI For Everyone,DeepLearning.AI
10,Crash Course on Python,Google
11,Psychological First Aid,Johns Hopkins University
12,Neural Networks and Deep Learning,DeepLearning.AI
13,What is Data Science?,IBM
14,Successful Negotiation: Essential Strategies and Skills,University of Michigan
15,Fundamentals of Project Planning and Management,University of Virginia
16,Project Launch,"University of California, Irvine"
17,"Brand Management: Aligning Business, Brand and Behaviour",London Business School
18,Writing in the Sciences,Stanford University
19,Stanford Introduction to Food and Health,Stanford University
20,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University
21,Excel Skills for Business: Essentials,Macquarie University
22,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University
23,"Everyday Excel, Part 1",University of Colorado Boulder
24,Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego
25,Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud
26,Viral Marketing and How to Craft Contagious Content,University of Pennsylvania
27,Python Data Structures,University of Michigan
28,Private Equity and Venture Capital,Università Bocconi
29,First Step Korean,Yonsei University
30,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI
31,Operating Systems and You: Becoming a Power User,Google
32,Tools for Data Science,IBM
33,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI
34,Diversity and inclusion in the workplace,ESSEC Business School
35,Design and Interpretation of Clinical Trials,Johns Hopkins University
36,Visual Elements of User Interface Design,California Institute of the Arts
37,Management of Fashion and Luxury Companies,Università Bocconi
38,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona
39,Social Psychology,Wesleyan University
40,Initiating and Planning Projects,"University of California, Irvine"
41,Computational Thinking for Problem Solving,University of Pennsylvania
42,Agile with Atlassian Jira,Atlassian
43,Fundamentals of Graphic Design,California Institute of the Arts
44,Introduction to User Experience Design,Georgia Institute of Technology
45,Introduction to Marketing,University of Pennsylvania
46,Python for Data Science and AI,IBM
47,Marketing Analytics,University of Virginia
48,Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI
49,Fundamentals of Quantitative Modeling,University of Pennsylvania
50,How to Manage a Remote Team,GitLab
51,Mathematics for Machine Learning: Linear Algebra,Imperial College London
52,Introduction to Data Science in Python,University of Michigan
53,Customer Analytics,University of Pennsylvania
55,English for Career Development,University of Pennsylvania
56,Global Diplomacy – Diplomacy in the Modern World,University of London
57,Game Theory,Stanford University
58,SQL for Data Science,"University of California, Davis"
59,Write Professional Emails in English,Georgia Institute of Technology
60,Medical Neuroscience,Duke University
61,System Administration and IT Infrastructure Services,Google
62,International Women's Health and Human Rights,Stanford University
63,Child Nutrition and Cooking,Stanford University
64,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago
65,Introduction to Social Media Marketing,Facebook
