,reviews,date_reviews,rating
0,"Original review: Nov. 30, 2022Unprofessional, unreliable, and irresponsible. Coursera staff appear to be poorly lacking in their duties and abilities to successfully manage this platform. They present serious, inaccurate claims of plagiarism based off insufficient sources and neglect to investigate these claims when prompted of their reasoning. They carelessly confirm inaccurate computer-generated claims of plagiarism on assignments, without investigating whether or not the computer is correct. Laura in particular, is guilty of the above and lacks in her duties to accurately identify plagiarism. Staff also fail to include appropriate contact information, leaving only the option to email, without a phone number to call. Do not spend your money on Coursera. The staff overseeing the assignments are untrained.","Original review: Nov. 30, 2022",4
1,"Original review: Nov. 4, 2022Signed up via LinkedIn ""recommendation"" as they seemed more affable and budget-friendly compared to Learning. Well got halfway through a supposed Social Media Mgmt. certification, when a requirement was to create a FB and IG Business account, which seemed fake to me, as not being in business... or even certain if that's legal. And NO actual support to assist if you get stuck. I'm all for online learning alternatives, but this is severely questionable.","Original review: Nov. 4, 2022",5
2,"Original review: Oct. 22, 2022I wanted to complete an assignment, but due to an error I wasn't able to. They offered me alternatives which didn't work, support is next to useless. I am paying for the course and I cannot even complete the assignment.","Original review: Oct. 22, 2022",1
3,"Original review: Sept. 22, 2022This company is horrible. I was extremely excited to start learning about UX Designing, and everything seemed to be fine until half my work was gone when I logged back in a week later. They have NO phone number, and when I tried to reach them through email and messages and reports, NO ONE responded to me. I'm furious that I spent a total of $80 on absolutely nothing.","Original review: Sept. 22, 2022",1
4,"Original review: July 6, 2022
                        Review Transcript
                    
                    I decided to try out a trial with Coursera. And the trial, I wasn’t really feeling it. So, I decided to end it. And it was a free trial. Apparently, not. So, I cancelled the subscription. And a couple of months later, I start noticing payments coming out of my account to Coursera. So, I try and reach out to them. There’s no phone number anywhere. There’s no way to speak to somebody at all. They have a chat bubble that’s supposed to populate in the corner, but it doesn’t work with Google browser, with Safari browser, or the app itself. So, I had to try multiple different bowsers to find what the chat bubble would pop up in.

Finally, got to start chatting with somebody, asking them about a refund. They said, “Okay, we’re gonna forward this to some other department, and they’ll be reaching back to you through email.” I’m so glad I cancelled it and I’m not working with them. Because if I ever needed help with anything, it would be insane. They charge high amounts for their services. These are expensive services, and there’s no customer service. It’s unbelievable. So, that’s my review. Don’t waste your time with them. You will regret it. And that’s all.
                ","Original review: July 6, 2022",1
5,"Original review: June 8, 2022I was charged for a course after I completed the certification. I requested a refund and asked why was my credit card billed anyway. They said I had to cancel or complete the certification class. Which I did completed the course then the customer service rep was stuck when I said that. Check your cards because they are charging people for a service they not receiving any longer.","Original review: June 8, 2022",1
6,"Original review: May 19, 2022Their business model relies on sneaking in sub subscriptions that they hope you don’t notice. They DO NOT CARE about their learners- only about extracting as much money as possible. Horrible, unethical corporation run by sociopaths.","Original review: May 19, 2022",1
7,"Original review: March 31, 2022How can a company call itself customer-oriented when it cannot issue a simple invoice after the payment? The company that I work for paid for one course for me and it turns out they do not issue invoices for individual clients! It means that if I want to get an invoice I have to create a business account with 5 seats minimum each costing $400/year, so in total it would cost me $4000 to get an invoice! I mean really?","Original review: March 31, 2022",2
8,"Original review: March 17, 2022I've tried 3 courses here. 1 was poor quality and billed me without me knowing (non-refundable of course), 1 was great but I was unable to buy the certificate with poor Customer Service back and forth, and the last is ok but the material is almost 10 years old. I did another course on the competitors and was great - no issue, high quality, no hidden fees. No idea why this company is more known - try the others.","Original review: March 17, 2022",1
9,"Resolution response: March 7, 2022This issue was resolved to my satisfaction by the company.Original review: March 7, 2022Coursera has a bait & switch going on that is unethical and possibly fraudulent where you purchase one course and then they sign you up for recurring payments unless you opt out. $49 per single course, and after that they just keep billing and billing. There is almost no recourse because they do not have a customer service program in place. I've filed a complaint with Coursera through their chat function and with the Better Business Bureau. I've also contacted the professor who gives the course and told him that Coursera is operating a bait & switch scheme and that it besmirches their reputation. I am not the only one complaining of these unauthorized charges and demand a refund.","Resolution response: March 7, 2022",1
10,"Original review: Nov. 30, 2022Unprofessional, unreliable, and irresponsible. Coursera staff appear to be poorly lacking in their duties and abilities to successfully manage this platform. They present serious, inaccurate claims of plagiarism based off insufficient sources and neglect to investigate these claims when prompted of their reasoning. They carelessly confirm inaccurate computer-generated claims of plagiarism on assignments, without investigating whether or not the computer is correct. Laura in particular, is guilty of the above and lacks in her duties to accurately identify plagiarism. Staff also fail to include appropriate contact information, leaving only the option to email, without a phone number to call. Do not spend your money on Coursera. The staff overseeing the assignments are untrained.","Original review: March 7, 2022",1
11,"Original review: Nov. 4, 2022Signed up via LinkedIn ""recommendation"" as they seemed more affable and budget-friendly compared to Learning. Well got halfway through a supposed Social Media Mgmt. certification, when a requirement was to create a FB and IG Business account, which seemed fake to me, as not being in business... or even certain if that's legal. And NO actual support to assist if you get stuck. I'm all for online learning alternatives, but this is severely questionable.","Original review: Nov. 30, 2022",3
12,"Original review: Oct. 22, 2022I wanted to complete an assignment, but due to an error I wasn't able to. They offered me alternatives which didn't work, support is next to useless. I am paying for the course and I cannot even complete the assignment.","Original review: Nov. 4, 2022",4
13,"Original review: Sept. 22, 2022This company is horrible. I was extremely excited to start learning about UX Designing, and everything seemed to be fine until half my work was gone when I logged back in a week later. They have NO phone number, and when I tried to reach them through email and messages and reports, NO ONE responded to me. I'm furious that I spent a total of $80 on absolutely nothing.","Original review: Oct. 22, 2022",5
14,"Original review: July 6, 2022
                        Review Transcript
                    
                    I decided to try out a trial with Coursera. And the trial, I wasn’t really feeling it. So, I decided to end it. And it was a free trial. Apparently, not. So, I cancelled the subscription. And a couple of months later, I start noticing payments coming out of my account to Coursera. So, I try and reach out to them. There’s no phone number anywhere. There’s no way to speak to somebody at all. They have a chat bubble that’s supposed to populate in the corner, but it doesn’t work with Google browser, with Safari browser, or the app itself. So, I had to try multiple different bowsers to find what the chat bubble would pop up in.

Finally, got to start chatting with somebody, asking them about a refund. They said, “Okay, we’re gonna forward this to some other department, and they’ll be reaching back to you through email.” I’m so glad I cancelled it and I’m not working with them. Because if I ever needed help with anything, it would be insane. They charge high amounts for their services. These are expensive services, and there’s no customer service. It’s unbelievable. So, that’s my review. Don’t waste your time with them. You will regret it. And that’s all.
                ","Original review: Sept. 22, 2022",1
15,"Original review: June 8, 2022I was charged for a course after I completed the certification. I requested a refund and asked why was my credit card billed anyway. They said I had to cancel or complete the certification class. Which I did completed the course then the customer service rep was stuck when I said that. Check your cards because they are charging people for a service they not receiving any longer.","Original review: July 6, 2022",1
16,"Original review: May 19, 2022Their business model relies on sneaking in sub subscriptions that they hope you don’t notice. They DO NOT CARE about their learners- only about extracting as much money as possible. Horrible, unethical corporation run by sociopaths.","Original review: June 8, 2022",1
