,Word,Frequency
0,good,3741
1,learning,3731
2,great,3073
3,learn,2673
4,time,2418
5,review,2314
6,well,2296
7,Very,2054
8,money,2047
9,work,1962
10,edX,1914
11,Udemy,1892
12,knowledge,1887
13,content,1885
14,experience,1813
15,learned,1753
16,certificate,1676
17,help,1676
18,Great,1627
19,recommend,1581
20,also,1578
21,Thank,1557
22,want,1509
23,best,1503
24,videos,1499
25,Original,1498
26,customer,1491
27,understand,1481
28,easy,1443
29,support,1428
30,refund,1367
31,take,1356
32,useful,1320
33,interesting,1269
34,Coursera,1252
35,A,1173
36,material,1167
37,Thanks,1164
38,platform,1160
39,assignments,1160
40,Excellent,1150
41,weeks,1147
42,You,1144
43,excellent,1138
44,free,1131
45,curso,1119
46,people,1109
47,end,1100
48,never,1091
49,online,1065
50,service,1061
51,instructor,1047
52,able,1029
53,helpful,1023
54,use,1017
55,pay,1009
56,So,1006
57,make,1004
58,class,999
59,amazing,985
60,start,983
61,could,964
62,got,961
63,education,951
64,world,949
65,still,948
66,taken,935
67,find,916
68,enjoyed,909
69,skills,906
70,video,904
71,programming,896
72,life,870
73,students,860
74,back,856
75,EdX,853
76,In,853
77,go,848
78,things,833
79,think,832
80,see,830
81,know,825
82,little,825
83,made,817
84,concepts,816
85,nothing,809
86,Course,808
87,clear,795
88,love,792
89,information,792
90,since,791
91,every,784
92,told,782
93,completed,776
94,professor,773
95,5,772
96,found,763
97,feel,763
98,complete,761
99,Learning,758
100,next,757
101,exercises,754
102,quality,753
103,problem,751
104,Python,746
105,took,737
106,teaching,737
107,data,736
108,explained,735
109,started,732
110,account,723
111,email,720
112,need,717
113,follow,709
114,given,705
115,needed,703
116,us,702
117,everyone,701
118,better,699
119,website,698
120,going,695
121,informative,695
122,problems,694
123,anyone,687
124,taking,686
125,paid,677
126,company,676
127,muy,675
128,tried,673
129,Good,673
130,instructors,669
131,helped,668
132,nice,667
133,real,665
134,give,660
135,introduction,658
136,taught,652
137,thing,652
138,understanding,638
139,My,638
140,cannot,635
141,happy,630
142,future,629
143,used,623
144,issue,622
145,days,621
146,another,619
147,subject,617
148,basic,615
149,la,606
150,Science,601
151,en,599
152,para,599
153,others,593
154,point,593
155,study,592
156,business,590
157,classes,588
158,full,585
159,Dr,579
160,science,575
161,lectures,572
162,times,571
163,trying,569
164,day,568
165,professional,568
166,process,564
167,different,562
168,access,561
169,machine,550
170,Also,548
171,receive,547
172,el,546
173,Andrew,541
174,signed,539
175,however,538
176,career,532
177,though,531
178,far,531
179,Data,529
180,long,528
181,training,527
182,looking,523
183,using,519
184,option,516
185,program,511
186,part,506
187,final,506
188,teacher,501
189,everything,500
190,gives,498
191,3,494
192,edx,492
193,exam,492
194,practical,490
195,Excelente,487
196,ever,479
197,reviews,477
198,teachers,476
199,making,471
200,bit,470
201,available,467
202,Machine,467
203,Really,465
204,absolutely,463
205,answer,463
206,python,462
207,price,461
208,contact,461
209,without,460
210,case,459
211,concept,452
212,put,452
213,No,451
214,examples,451
215,1,450
216,quizzes,448
217,makes,448
218,helps,447
219,practice,444
220,thought,442
221,provided,442
222,And,441
223,say,441
224,opportunity,440
225,try,439
226,management,436
227,thank,435
228,However,433
229,important,432
230,questions,430
231,English,430
232,keep,429
233,definitely,423
234,bad,423
235,highly,422
236,notes,422
237,universities,421
238,bought,419
239,someone,418
240,los,418
241,emails,418
242,due,418
243,gave,417
244,currently,416
245,topics,416
246,top,415
247,forward,415
248,later,413
249,4,413
250,minute,412
251,June,410
252,correct,409
253,basics,409
254,switch,407
255,look,406
256,fun,406
257,wonderful,406
258,loved,405
259,technical,405
260,designed,404
261,offer,404
262,always,403
263,worth,403
264,beginners,402
265,yet,401
266,discussion,401
267,often,397
268,ago,395
269,But,393
270,Professor,393
271,something,392
272,actually,392
273,For,388
274,explanation,387
275,format,386
276,job,386
277,thanks,385
278,learnt,382
279,anything,382
280,credits,381
281,When,381
282,scam,380
283,extremely,380
284,modules,379
285,simple,377
286,level,377
287,offered,377
288,overall,376
289,staff,375
290,waste,374
291,Prof,374
292,recommended,373
293,several,373
294,extension,372
295,student,372
296,getting,372
297,right,371
298,read,371
299,received,369
300,wrong,368
301,un,367
302,waiting,366
303,sense,365
304,materials,364
305,Ng,363
306,number,363
307,within,362
308,Many,362
309,Edx,361
310,test,360
311,detailed,360
312,awesome,359
313,done,359
314,date,358
315,lost,358
316,Harvard,357
317,After,356
318,30,354
319,assessed,353
320,asking,353
321,10,351
322,said,351
323,multiple,351
324,options,351
325,improve,350
326,Amazing,348
327,field,348
328,digital,343
329,easily,343
330,throughout,342
331,hard,341
332,personal,339
333,presented,339
334,University,339
335,team,339
336,liked,338
337,become,337
338,quite,337
339,provide,337
340,either,336
341,longer,335
342,person,333
343,6,332
344,At,332
345,clearly,331
346,Please,330
347,issues,330
348,whole,330
349,coding,330
350,YouTube,328
351,pace,325
352,unless,323
353,already,323
354,contacted,322
355,challenging,321
356,fact,320
357,offering,320
358,terms,320
359,matter,320
360,EDX,319
361,credit,317
362,enrolled,316
363,engaging,316
364,purchased,316
365,code,315
366,chance,313
367,interested,313
368,submit,312
369,example,311
370,via,310
371,Google,309
372,last,309
373,idea,307
374,fair,304
375,assignment,299
376,Certificate,297
377,non,296
378,beginner,296
379,topic,295
380,design,293
381,difficult,292
382,year,292
383,response,292
384,minutes,291
385,hope,291
386,reason,290
387,deep,289
388,Just,289
389,amount,288
390,structure,287
391,tools,287
392,works,287
393,years,286
394,especially,286
395,las,285
396,delivered,285
397,sure,284
398,e,284
399,second,283
400,seem,283
401,platforms,283
402,looked,282
403,high,282
404,development,281
405,site,279
406,web,279
407,various,278
408,hands,277
409,es,277
410,15,277
411,step,276
412,All,274
413,possible,273
414,Its,273
415,expensive,273
416,Terrible,272
417,wish,272
418,completely,272
419,Some,272
420,IT,271
421,interest,271
422,week,271
423,language,271
424,seen,271
425,Highly,270
426,needs,270
427,2019I,270
428,Even,270
429,grading,270
430,con,268
431,month,267
432,purchase,266
433,care,265
434,twice,265
435,R,264
436,kind,264
437,structured,263
438,Introduction,263
439,self,262
440,active,261
441,tests,260
442,Their,259
443,coursera,258
444,provides,258
445,spend,257
446,wanted,256
447,totally,256
448,AI,255
449,marketing,255
450,sent,255
451,MOOC,254
452,paper,254
453,details,252
454,pretty,251
455,believe,251
456,horrible,251
457,Muy,250
458,saying,249
459,audit,249
460,half,249
461,written,248
462,avoid,248
463,99,247
464,sticky,246
465,2020I,245
466,unavailable,244
467,computer,244
468,services,243
469,ML,243
470,learner,243
471,general,243
472,months,243
473,Speaking,243
474,relevant,242
475,certain,242
476,expect,241
477,spent,239
478,starting,238
479,9,238
480,angry,237
481,must,237
482,modern,237
483,certificates,237
484,teach,237
485,stay,237
486,change,236
487,reply,236
488,20,236
489,charged,236
490,actual,236
491,phone,236
492,wants,234
493,enough,234
494,instructions,233
495,Awesome,233
496,fine,232
497,working,231
498,peers,231
499,giving,231
500,print,231
501,practices,231
502,tell,231
503,subjects,230
504,Best,230
505,satisfied,230
506,MIT,229
507,fault,228
508,open,228
509,late,227
510,instead,227
511,paying,226
512,link,226
513,cancelled,225
514,may,224
515,easier,224
516,around,223
517,went,223
518,Computer,223
519,Chuck,222
520,set,222
521,That,222
522,ones,221
523,writing,221
524,soon,221
525,system,220
526,Read,220
527,stars,219
528,manner,219
529,por,218
530,chat,218
531,delivery,218
532,allow,218
533,big,217
534,deadline,217
535,providing,217
536,two,217
537,probably,217
538,gets,216
539,cancel,216
540,least,215
541,Things,214
542,techniques,213
543,choose,212
544,sign,212
545,excelente,212
546,away,212
547,payment,211
548,Business,210
549,stuff,208
550,truly,208
551,outdated,207
552,pages,206
553,As,206
554,THE,206
555,slides,206
556,feedback,205
557,check,205
558,friendly,204
559,require,204
560,Overall,204
561,elsewhere,204
562,wide,204
563,profit,203
564,rest,203
565,7,202
566,short,202
567,continue,202
568,perfect,202
569,personally,202
570,almost,202
571,Nice,201
572,period,201
573,poor,201
574,May,201
575,changed,200
576,bait,200
577,enjoy,200
578,question,199
579,Will,199
580,appreciate,199
581,lo,199
582,points,198
583,talk,198
584,una,197
585,wanting,197
586,Not,197
587,along,197
588,together,197
589,ID,197
590,towards,196
591,annoying,196
592,expected,196
593,useless,196
594,studying,196
595,stuck,196
596,broken,195
597,communication,195
598,words,194
599,show,194
600,gone,194
601,etc,194
602,history,194
603,otherwise,193
604,whatever,192
605,user,192
606,methods,192
607,submission,192
608,run,191
609,costs,191
610,grade,191
611,overview,190
612,effective,190
613,approach,190
614,gift,190
615,What,190
616,answers,189
617,opinion,189
618,enrolment,188
619,institutions,188
620,simply,186
621,path,186
622,apply,185
623,First,185
624,Microsoft,185
625,felt,185
626,statistics,184
627,parts,184
628,TO,184
629,opportunities,184
630,specialization,183
631,19,183
632,theoretical,183
633,aspects,183
634,se,183
635,piece,183
636,activities,182
637,four,182
638,seems,182
639,areas,182
640,spending,181
641,8,180
642,write,180
643,explanations,179
644,Psychology,179
645,warning,178
646,One,178
