,course_title,price,institution
0,Ultimate Investment Banking Course,200,udemy
1,Complete GST Course & Certification - Grow Your CA Practice,75,udemy
2,Financial Modeling for Business Analysts and Consultants,45,udemy
3,Beginner to Pro - Financial Analysis in Excel 2017,95,udemy
4,How To Maximize Your Profits Trading Options,200,udemy
5,Trading Penny Stocks: A Guide for All Levels In 2017,150,udemy
6,Investing And Trading For Beginners: Mastering Price Charts,65,udemy
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains",95,udemy
8,Options Trading 3 : Advanced Stock Profit and Success Method,195,udemy
9,The Only Investment Strategy You Need For Your Retirement,200,udemy
10,Forex Trading Secrets of the Pros With Amazon's AWS,200,udemy
11,Trading Options With Money Flow,200,udemy
12,Financial Management Risk and Return For Securities,30,udemy
13,Forex Trading Course: Work Smarter Not Harder Proven Results,195,udemy
14,Python Algo Trading: Sentiment Trading with News,200,udemy
15,Short Selling: Learn To Sell Stocks Before The Fall,75,udemy
16,Basic Technical Analysis: Learn the structure of the market,20,udemy
17,The Complete Chart Pattern Trading Course: A Proven Approach,200,udemy
18,7 Deadly Mistakes of Investing that Will Slash Your Profits!,50,udemy
19,Financial Statements Made Easy,95,udemy
20,Winning Forex Trading with Live Forex Trading Examples,200,udemy
21,Forex Traders - Create Your First Trading Robot. No Coding!,200,udemy
22,Create A Business From Home Trading Stocks Today In 2017,75,udemy
23,Introduction to Accounting : Mastering Financial Statements,50,udemy
24,The Complete Ethereum Course: Get .01 Ether In Your Wallet,45,udemy
25,Beginner to Pro in PowerPoint: Complete PowerPoint Training,150,udemy
26,Investing 101: The Complete Online Investing Course,200,udemy
27,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,175,udemy
28,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),150,udemy
29,Forex Trading: Your Complete Guide to Get Started Like a Pro,140,udemy
30,Python Algo Stock Trading: Automate Your Trading!,95,udemy
31,THE Forex Robot: Incredible ROI (Robot Included),200,udemy
32,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,45,udemy
33,Mastering High Probability Iron Condor Options Trading,200,udemy
34,The Complete Short Course on Ethereum,200,udemy
35,Options Trading Stocks: Proven Toolbox For Financial Success,195,udemy
36,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,195,udemy
37,"Introduction to Finance, Accounting, Modeling and Valuation",200,udemy
38,Beginner to Pro in Excel: Financial Modeling and Valuation,195,udemy
39,The Complete Investment Banking Course 2017,195,udemy
